1|Tampa|FL|1|2014-04-20 09:35:00.000|2014-04-20 09:35:00.000
2|Bellevue|WA|1|2014-04-20 09:35:00.000|2014-04-20 09:35:00.000
3|Washington|DC|1|2014-04-28 11:05:00.000|2014-04-28 11:05:00.000
4|Omaha|NE|1|2015-12-08 22:49:00.000|2015-12-08 22:49:00.000
5|Los Angeles|CA|1|2015-12-08 22:50:00.000|2015-12-08 22:50:00.000
6|Riverside|IA|1|2015-12-08 22:50:00.000|2015-12-08 22:50:00.000
7|Polis Massa|00|1|2015-12-08 22:50:00.000|2015-12-08 22:50:00.000
8|Orlando|FL|1|2015-12-08 22:50:00.000|2015-12-08 22:50:00.000
9|Atlanta|GA|1|2015-12-08 22:50:00.000|2015-12-08 22:50:00.000
10|Gainesville|FL|1|2015-12-08 22:50:00.000|2015-12-08 22:50:00.000
11|Princeton|NJ|1|2015-12-09 00:00:00.000|2015-12-09 00:00:00.000
12|Taos|NM|1|2015-12-09 00:00:00.000|2015-12-09 00:00:00.000
13|Phoenix|AZ|1|2015-12-09 00:00:00.000|2015-12-09 00:00:00.000
14|New York|NY|1|2015-12-09 00:00:00.000|2015-12-09 00:00:00.000
15|Camarillo|CA|1|2015-12-09 00:00:00.000|2015-12-09 00:00:00.000
16|Venice|CA|1|2015-12-09 00:00:00.000|2015-12-09 00:00:00.000
17|Seattle|WA|1|2015-12-09 00:00:00.000|2015-12-09 00:00:00.000
